#,Header,Format,20020003,,X1,,,X2,,,Y1,,,Y2,
#,Ref,Ch:,Board,0,-,Channel,0,,,,,,,,
#,[Bref][Cref],Tstamp_ps,Energy,:,[Bx][Cx],deltaT_ns,Energy,...,,,,,,,
[00][00],4075638164284,2401,:,[00][01],21.066,1530,[00][02],20.215,2324,[00][03],26.965,1937,[00][04],107.949,1902
[00][00],4268055323249,399,:,[00][01],21.187,0,[00][02],60.437,386,[00][03],54.375,320,[00][04],96.062,306
[00][00],4276399233405,227,:,[00][01],21.156,60,[00][02],43.595,267,[00][03],132.094,209,[00][04],18.595,208
[00][00],4278858110764,957,:,[00][01],20.922,86,[00][02],87.141,1222,[00][03],33.016,920,[00][04],116.61,860
[00][00],4282406535092,253,:,[00][01],21.094,0,[00][02],107.094,526,[00][03],62.344,181,[00][04],88.157,150
[00][00],4284580366249,810,:,[00][01],21.156,517,[00][02],54.218,845,[00][03],122.312,714,[00][04],25.968,729
[00][00],4294864592374,1326,:,[00][01],21.359,785,[00][02],119.312,2833,[00][03],75.531,1042,[00][04],73.125,1009
[00][00],4327832443155,346,:,[00][01],21.156,0,[00][02],76.656,399,[00][03],62.281,328,[00][04],88.281,302
[00][00],4378242321827,898,:,[00][01],21.265,612,[00][02],25.484,986,[00][03],38.484,886,[00][04],111.484,821
[00][00],4454278024436,342,:,[00][01],21.5,132,[00][02],41.313,321,[00][03],55.313,296,[00][04],95.813,273
[00][00],4468477238069,1016,:,[00][01],21.32,529,[00][02],72.242,1023,[00][03],22.133,887,[00][04],124.055,869
[00][00],4477201168874,258,:,[00][01],21.187,0,[00][02],115,600,[00][03],50.187,245,[00][04],100.75,212
[00][00],4524901525811,391,:,[00][01],21.189,309,[00][02],33.688,473,[00][03],70.625,386,[00][04],79.25,394
[00][00],4565888536444,848,:,[00][01],21.258,1006,[00][02],31.68,1012,[00][03],56.898,889,[00][04],92.68,837
[00][00],4607561022936,538,:,[00][01],21.125,0,[00][02],96.25,856,[00][03],37.563,690,[00][04],235.25,303
[00][00],4615674553108,319,:,[00][01],21.047,0,[00][02],130.453,717,[00][03],103.141,270,[00][04],45.892,263
[00][00],4631009302538,1381,:,[00][01],21.226,0,[00][02],128.992,3206,[00][03],62.242,1461,[00][04],85.462,1369
[00][00],4637569620717,253,:,[00][01],21.283,0,[00][02],119.469,619,[00][03],55.844,220,[00][04],94.719,213
